Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
3.700e-04,6.7,-0.00072
3.720e-04,6.7,-0.00084
3.740e-04,6.3,-0.00056
3.760e-04,6.7,-0.00072
3.780e-04,6.5,-0.00068
3.800e-04,6.3,-0.00052
3.820e-04,6.1,-0.00092
3.840e-04,6.1,-0.00048
3.860e-04,5.9,-0.00088
3.880e-04,5.9,-0.00084
3.900e-04,5.7,-0.00084
3.920e-04,5.9,-0.00096
3.940e-04,5.7,-0.001
3.960e-04,5.5,-0.00092
3.980e-04,5.5,-0.00088
4.000e-04,5.3,-0.00084
4.020e-04,5.3,-0.00092
4.040e-04,5.3,-0.0004
4.060e-04,5.1,-0.00072
4.080e-04,4.7,-0.00084
4.100e-04,4.9,-0.0008
4.120e-04,4.7,-0.00068
4.140e-04,4.5,-0.00064
4.160e-04,4.3,-0.0004
4.180e-04,4.3,-0.00068
4.200e-04,4.1,-0.0006
4.220e-04,4.1,-0.00032
4.240e-04,3.9,-0.00088
4.260e-04,3.7,-0.00072
4.280e-04,3.7,-0.00056
4.300e-04,3.3,-0.00104
4.320e-04,3.5,-0.00108
4.340e-04,3.3,-0.00076
4.360e-04,3.3,-0.0006
4.380e-04,2.9,-0.00064
4.400e-04,3.1,-0.00072
4.420e-04,2.9,-0.00064
4.440e-04,2.7,-0.00064
4.460e-04,2.7,-0.0008
4.480e-04,2.7,-0.0008
4.500e-04,2.5,-0.00036
4.520e-04,2.3,-0.00068
4.540e-04,2.1,-0.00088
4.560e-04,1.9,-0.00032
4.580e-04,1.9,-0.00072
4.600e-04,1.7,-0.00036
4.620e-04,1.7,-0.00028
4.640e-04,1.5,-0.0006
4.660e-04,1.3,-0.00104
4.680e-04,1.1,-0.00092
4.700e-04,1.3,-0.00064
4.720e-04,0.7,-0.00052
4.740e-04,0.9,-0.00064
