Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,0,-0.34
,,
,,
,,
Label,,
TIME,CH1,CH2
2.70e-01,0.8,1.62
2.71e-01,0.8,1.7
2.72e-01,0.8,1.7
2.73e-01,0.8,1.74
2.74e-01,0.88,1.74
2.75e-01,0.8,1.74
2.76e-01,0.88,1.74
2.77e-01,0.96,1.78
2.78e-01,0.88,1.74
2.79e-01,0.88,1.78
2.80e-01,0.96,1.74
2.81e-01,1.04,1.74
2.82e-01,1.12,1.78
2.83e-01,1.04,1.78
2.84e-01,1.04,1.78
2.85e-01,1.12,1.74
2.86e-01,1.04,1.74
2.87e-01,1.04,1.74
2.88e-01,1.2,1.74
2.89e-01,1.2,1.74
2.90e-01,1.28,1.74
2.91e-01,1.28,1.7
2.92e-01,1.28,1.7
2.93e-01,1.2,1.7
2.94e-01,1.28,1.66
2.95e-01,1.36,1.62
2.96e-01,1.44,1.66
2.97e-01,1.44,1.62
2.98e-01,1.36,1.54
2.99e-01,1.44,1.5
3.00e-01,1.52,1.5
3.01e-01,1.44,1.46
3.02e-01,1.52,1.42
3.03e-01,1.6,1.38
3.04e-01,1.52,1.34
3.05e-01,1.6,1.34
3.06e-01,1.68,1.3
3.07e-01,1.6,1.22
3.08e-01,1.68,1.18
3.09e-01,1.6,1.14
3.10e-01,1.68,1.1
3.11e-01,1.68,1.02
3.12e-01,1.84,0.98
3.13e-01,1.76,0.98
3.14e-01,1.76,0.9
3.15e-01,1.84,0.9
3.16e-01,1.84,0.9
3.17e-01,1.84,0.78
3.18e-01,2,0.74
3.19e-01,2,0.7
3.20e-01,2,0.7
3.21e-01,2,0.66
3.22e-01,2,0.62
3.23e-01,2,0.62
3.24e-01,2,0.58
3.25e-01,2.08,0.58
3.26e-01,2.08,0.54
3.27e-01,2.16,0.5
3.28e-01,2.24,0.46
3.29e-01,2.16,0.46
3.30e-01,2.24,0.42
3.31e-01,2.24,0.42
3.32e-01,2.32,0.42
3.33e-01,2.32,0.38
3.34e-01,2.32,0.42
3.35e-01,2.32,0.34
3.36e-01,2.4,0.34
3.37e-01,2.4,0.34
3.38e-01,2.4,0.34
3.39e-01,2.4,0.38
3.40e-01,2.56,0.34
3.41e-01,2.48,0.34
3.42e-01,2.48,0.34
3.43e-01,2.56,0.34
3.44e-01,2.48,0.34
3.45e-01,2.64,0.38
3.46e-01,2.64,0.34
3.47e-01,2.56,0.38
3.48e-01,2.56,0.42
3.49e-01,2.56,0.42
