Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
1.800e-04,9.4,-0.00024
1.820e-04,9,-8e-05
1.840e-04,9.4,-0.00024
1.860e-04,9.4,-4e-05
1.880e-04,9,-0.00024
1.900e-04,9.8,0
1.920e-04,9.4,-0.00076
1.940e-04,9.4,-0.00012
1.960e-04,9.8,-0.00044
1.980e-04,9.8,-0.00016
2.000e-04,9.4,-0.00044
2.020e-04,9.4,-0.00036
2.040e-04,10.2,-0.00052
2.060e-04,9.4,-0.00024
2.080e-04,9.4,-0.00044
2.100e-04,9.8,-0.00048
2.120e-04,9.8,-0.0002
2.140e-04,9.4,-0.00052
2.160e-04,9.8,-0.00036
2.180e-04,10.2,-0.00044
2.200e-04,9.8,-0.00048
2.220e-04,10.2,-0.00032
2.240e-04,9.8,-0.0004
2.260e-04,9.8,-0.00044
2.280e-04,9.4,-0.00048
2.300e-04,9.8,-0.00068
2.320e-04,9.8,-0.00052
2.340e-04,9.8,-0.0006
2.360e-04,10.2,-0.00048
2.380e-04,10.2,-0.00044
2.400e-04,10.2,-0.00036
2.420e-04,9.8,-0.00052
2.440e-04,9.8,-8e-05
2.460e-04,10.2,-0.00032
2.480e-04,10.2,-0.00024
2.500e-04,10.2,-0.00032
2.520e-04,9.8,-0.00024
2.540e-04,10.2,-0.00036
2.560e-04,10.2,-0.00056
2.580e-04,10.2,-0.0002
2.600e-04,9.8,-0.00048
2.620e-04,9.8,-0.0004
2.640e-04,9.8,-0.00036
2.660e-04,9.8,-0.00024
2.680e-04,9.8,-0.00052
2.700e-04,9.8,-0.00052
2.720e-04,9.8,-0.00012
2.740e-04,9.8,-0.00076
2.760e-04,9.4,-0.00064
2.780e-04,9.4,-0.00048
2.800e-04,9.8,-0.00092
2.820e-04,9.8,-0.00064
2.840e-04,9.4,-8e-05
2.860e-04,9.8,-0.00068
2.880e-04,9.8,-0.00048
2.900e-04,9.8,-0.00056
2.920e-04,9.4,-0.00068
2.940e-04,9,-0.00052
2.960e-04,9.4,-0.0008
2.980e-04,9.4,-0.00068
3.000e-04,9.8,-0.00056
3.020e-04,9.4,-0.0008
3.040e-04,9,-0.00056
3.060e-04,9.4,-0.00044
3.080e-04,9,-0.00032
3.100e-04,9,-0.00076
3.120e-04,9.4,-0.0006
3.140e-04,8.6,-0.00056
3.160e-04,9,-0.00048
3.180e-04,9,-0.00064
3.200e-04,9,-0.0006
3.220e-04,8.6,-0.00072
3.240e-04,9,-0.00044
3.260e-04,9,-0.00056
3.280e-04,8.6,-0.00068
3.300e-04,8.6,-0.00064
3.320e-04,8.6,-0.00068
3.340e-04,8.2,-0.0006
3.360e-04,8.6,-0.00088
3.380e-04,8.2,-0.00088
3.400e-04,8.2,-0.00048
3.420e-04,7.8,-0.00024
3.440e-04,7.8,-0.00064
3.460e-04,8.2,-0.00076
3.480e-04,7.8,-0.00052
3.500e-04,7.4,-0.00032
3.520e-04,7.4,-0.00048
3.540e-04,7.8,-0.00044
3.560e-04,7.8,-0.00056
3.580e-04,7.8,-0.00064
3.600e-04,7.4,-0.00052
3.620e-04,7.4,-0.00036
3.640e-04,7,-0.00056
3.660e-04,7.4,-0.00036
3.680e-04,7.4,-0.00052
3.700e-04,7.4,-0.00044
3.720e-04,6.2,-0.00036
3.740e-04,6.6,-0.00032
3.760e-04,6.6,-0.00032
3.780e-04,6.6,-0.00072
3.800e-04,6.2,-0.00056
3.820e-04,6.2,-0.00072
3.840e-04,6.2,-0.00064
3.860e-04,6.2,-0.00028
3.880e-04,5.8,-0.00068
3.900e-04,6.2,-0.00056
3.920e-04,5.8,-0.00064
3.940e-04,5.4,-0.00064
3.960e-04,5.4,-0.00052
3.980e-04,5.4,-0.00048
4.000e-04,5.4,-0.0006
4.020e-04,5.4,-0.0006
4.040e-04,5,-0.0006
4.060e-04,5,-0.00052
4.080e-04,5,-0.00036
4.100e-04,4.6,-0.00052
4.120e-04,4.6,-0.0002
4.140e-04,5,-0.00076
4.160e-04,4.6,-0.00028
4.180e-04,4.2,-0.00064
4.200e-04,4.6,-0.0004
4.220e-04,4.2,-0.00032
4.240e-04,4.2,-0.0006
4.260e-04,4.2,-0.00024
4.280e-04,4.2,-4e-05
4.300e-04,3.8,-0.00032
4.320e-04,3.4,-0.00016
4.340e-04,3.8,-0.0004
4.360e-04,3.4,-0.00056
4.380e-04,2.6,-0.00056
4.400e-04,3.4,-0.0002
4.420e-04,3,-0.00056
4.440e-04,3,-0.00016
4.460e-04,2.6,-0.0002
4.480e-04,2.6,-0.00024
4.500e-04,2.2,-0.00052
4.520e-04,2.6,-0.00036
4.540e-04,2.2,-0.00044
4.560e-04,2.2,-0.00024
4.580e-04,2.2,-0.00036
4.600e-04,2.2,-0.00048
4.620e-04,1.8,-0.00016
4.640e-04,1.8,-0.00032
4.660e-04,1.4,-0.00012
4.680e-04,1.4,-0.0004
4.700e-04,1,-0.00056
4.720e-04,1,-0.00056
4.740e-04,1,-0.00024
4.760e-04,1,-0.00044
4.780e-04,0.6,-0.00044
4.800e-04,0.6,-8e-05
4.820e-04,0.2,-0.00024
4.840e-04,0.2,-0.00036
4.860e-04,-0.2,-0.00036
4.880e-04,0.2,-0.0008
4.900e-04,-0.2,-0.00044
4.920e-04,-0.2,-0.00044
4.940e-04,-0.6,-0.00028
4.960e-04,-0.6,-0.00028
4.980e-04,-0.2,-0.00052
5.000e-04,-0.6,-0.00044
5.020e-04,-1,-0.00032
5.040e-04,-0.6,-0.00036
5.060e-04,-1.4,-0.0004
5.080e-04,-1.8,-0.00028
5.100e-04,-1.4,-0.00052
5.120e-04,-1.4,-0.00024
5.140e-04,-1.8,-0.0008
5.160e-04,-1.8,-8e-05
5.180e-04,-1.8,0
5.200e-04,-1.8,-0.00048
5.220e-04,-2.2,-0.00012
5.240e-04,-1.8,-0.00024
5.260e-04,-2.2,-0.00044
5.280e-04,-2.2,-0.00028
5.300e-04,-3,-0.0006
5.320e-04,-3,-0.0004
5.340e-04,-3,-0.00052
5.360e-04,-3,-4e-05
5.380e-04,-3,-0.0002
5.400e-04,-3.4,-0.00012
5.420e-04,-3.4,-0.00028
5.440e-04,-3.4,-0.00064
5.460e-04,-3.8,-0.00048
5.480e-04,-3.8,-0.00012
5.500e-04,-3.8,-0.0002
5.520e-04,-3.8,-0.00016
5.540e-04,-3.8,-0.00028
5.560e-04,-3.8,-0.0002
